Company Name,ISIN,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Net-Zero Committed
OSB Group PLC,GB00BLDRH360,Committed,,,Yes
PRO Unlimited,,Committed,,,Yes
Reconomy Group,,Committed,,,Yes
Samsara Inc.,,Committed,,,Yes
Savills Plc,GB00B135BJ46,Committed,,,Yes
SNC-LAVALIN GROUP INC.,CA78460T1057,Committed,,,Yes
Teejay India Private Limited,,Committed,,,Yes
Teejay Lanka Prints Private Limited,,Committed,,,Yes
The Travel Corporation,,Committed,,,Yes
Vidia Equity,,Committed,,,Yes
ZND UK LTD,,Committed,,,Yes
Zühlke Group,,Committed,,,Yes
ELIS,FR0012435121,Committed,,,No
Honeywell International Inc.,US4385161066,Committed,,,No
"Land O'Lakes, Inc.",US514666AN65,Committed,,,No
Majid Al Futtaim LEC,XS1991188548,Committed,,,No
Majid Al Futtaim Lifestyle,XS1991188548,Committed,,,No
Rotork plc,GB00BVFNZH21,Committed,,,No
Sonepar,,Committed,,,No
Temenos AG,CH0012453913,Committed,,,No
Vitesco Technologies Group AG,DE000VTSC017,Committed,,,No
VVM De Lijn,,Committed,,,No
Gebr. Dürrbeck Kunststoffe GmbH,,Targets Set,1.5°C,2030,No
Irie System Incorporation,,Targets Set,1.5°C,2030,No
Mistral Home,,Targets Set,1.5°C,2030,No
Fairphone B.V,,Targets Set,1.5°C,2030,No
Contour Design Nordic A/S,,Targets Set,1.5°C,2030,No
"Guangzhou Non-ferrous Metals Research Institute Xinfeng Wear Resistant Alloy Material Co., LTD.",,Targets Set,1.5°C,2030,No
Cosmosol S.r.l.,,Targets Set,1.5°C,2030,No
TP Aerospace,,Targets Set,Well-below 2°C,2030,No
Ignition DG Ltd,,Targets Set,1.5°C,2030,No
euNetworks Group Ltd,,Targets Set,1.5°C,2030,No
Uhuru Corporation,,Targets Set,1.5°C,2030,No
Crystal International Group Limited,,Committed,,,Yes
Enerveo Limited,,Committed,,,Yes
Icon Construction,,Committed,,,Yes
Kvadrat A/S,,Committed,,,Yes
"McCormick & Company, Incorporated",,Committed,,,Yes
NREP,,Committed,,,Yes
Purolator Inc.,,Committed,,,Yes
Radisson Hotel Group,,Committed,,,Yes
University Partnerships Programme,,Committed,,,Yes
Worldwide TechService LLC,,Committed,,,Yes
"AEON MALL Co., Ltd.",JP3131430005,Committed,,,No
Cabonline Group Holding AB (publ),N/A,Committed,,,No
Ege Carpets A/S,N/A,Committed,,,No
Fetzer Vineyards,N/A,Committed,,,No
Frasers Property Singapore (Development& Projects),SG2G52000004,Committed,,,No
HomeServe plc,GB00BYYTFB60,Committed,,,No
Iver Group AB,Not available,Committed,,,No
Patria Oyj,,Committed,,,No
"Primax Electronics (CQ) Corp., LTD.",N/A,Committed,,,No
Progress-Werk Oberkirch AG,DE0006968001,Committed,,,No
PunaMusta Media PLC,not available,Committed,,,No
Stretchline Holdings Limited,N/A,Committed,,,No
Südzucker AG (Group),DE 0007297004,Committed,,,No
"Trax Apparel (Cambodia) Co., Ltd.",N/A,Committed,,,No
Carmo A/S,,Targets Set,Well-below 2°C,2030,No
Hart Miller Design Ltd / MARK Product,,Targets Set,1.5°C,2030,No
